strategy,day,issue,candidate,score,status,residual,objective
A43_110,31,3,0.65,1.5355995073422548,0,0.0,-32.55475585260318
A43_110,31,3,0.8,321.7657491561502,0,4.547473508864641e-13,318.9149633912174
A43_110,31,3,0.9,771.1237339379874,0,9.094947017729282e-13,769.8346364377007
A43_111,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_111,31,1,keep,1.0751549332686343,0,0,0
A43_111,31,1,0.5,-881.0081367824339,0,9.094947017729282e-13,-2247.0243504080063
A43_111,31,1,0.65,-1785.7985560344778,0,9.094947017729282e-13,-1962.6709110576733
A43_111,31,1,0.8,-1689.1307515422047,0,9.094947017729282e-13,-1667.2721221631457
A43_111,31,1,0.9,-1061.4251964544962,0,9.094947017729282e-13,-1040.4688945599125
A43_111,31,2,keep,318.3787375412336,0,0,0
A43_111,31,2,0.5,615.1768500079972,0,9.094947017729282e-13,-115.44652125921608
A43_111,31,2,0.65,496.81859119144815,0,9.094947017729282e-13,378.12083238548456
A43_111,31,2,0.8,1305.0532580004092,0,4.547473508864641e-13,1287.0498369090876
A43_111,31,2,0.9,2107.222815791119,0,9.094947017729282e-13,2083.637409710397
A43_111,31,3,keep,19.300532484960666,0,0,0
A43_111,31,3,0.5,140.32147599979302,0,0.0,-169.57249561487808
A43_111,31,3,0.65,0.991663253070044,0,0.0,-32.9162356733951
A43_111,31,3,0.8,320.54540274877075,0,4.547473508864641e-13,317.71102072070204
A43_111,31,3,0.9,769.9240595535524,0,9.094947017729282e-13,768.6306937671854
A43_update_only,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_adjust_only,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_adjust_only,31,1,keep,8.138855916455245,0,0,0
A43_adjust_only,31,1,0.5,2133.99289616147,0,9.094947017729282e-13,-1509.7037796691307
A43_adjust_only,31,1,0.65,-122.33646537833954,0,9.094947017729282e-13,-947.4359473276098
A43_adjust_only,31,1,0.8,-13.35972704344776,0,9.094947017729282e-13,-21.87798067659799
A43_adjust_only,31,1,0.9,2967.7433743442843,0,9.094947017729282e-13,2894.2514249362803
A43_adjust_only,31,2,keep,279.0947475455268,0,0,0
A43_adjust_only,31,2,0.5,1686.5260456160563,0,9.094947017729282e-13,-527.6945982976416
A43_adjust_only,31,2,0.65,342.67794896992666,0,9.094947017729282e-13,-136.63810542273808
A43_adjust_only,31,2,0.8,1570.706606422565,0,4.547473508864641e-13,1526.0349050202356
A43_adjust_only,31,2,0.9,3587.9442892318984,0,9.094947017729282e-13,3500.495238332113
A43_adjust_only,31,3,keep,11.23615177222264,0,0,0
A43_adjust_only,31,3,0.5,139.30941736854155,0,0.0,-202.00425840694336
A43_adjust_only,31,3,0.65,-23.44458266924361,0,0.0,-64.47945781893068
A43_adjust_only,31,3,0.8,228.54821686571108,0,4.547473508864641e-13,222.23989889288202
A43_adjust_only,31,3,0.9,718.7051645849683,0,9.094947017729282e-13,709.8190949414769
A42,32,0,initial,,0,2.2737367544323206e-13,60159.205137265315
B42,32,0,initial,,0,2.2737367544323206e-13,60159.205137265315
B43,32,0,initial,,0,9.094947017729282e-13,61589.869022455205
B43,32,1,keep,60.63667644898201,0,0,0
B43,32,1,0.5,433.0861845697068,0,1.1368683772161603e-13,-2961.8376705799838
