策略,日期,计划费用_元,紧急费用_元,总费用_元,紧急电量_kWh,日初电量_kWh,日末电量_kWh
main,2025-09-22,41133.277290507016,1274.1824123860113,42407.45970289303,248.87101783162268,10800.0,10722.004010738481
main,2025-09-23,41879.60577318992,3431.86634824481,45311.47212143473,519.5864655618656,10722.004010738481,10798.14343953844
main,2025-09-24,45319.46561258037,1.9990900268496148e-11,45319.46561258038,4.907796391506736e-12,10798.14343953844,10800.0
main,2025-09-25,41813.010275960056,239.30068962901692,42052.31096558907,77.52215027440452,10800.0,10800.0
main,2025-09-26,19193.91571060892,3.145904026169433e-11,19193.91571060895,6.788347661768057e-12,10800.0,10800.0
main,2025-09-27,18752.539624175457,3058.240802879356,21810.78042705482,473.22070160554557,10800.0,10682.551783199857
main,2025-09-28,44632.157419827956,3.47769413266974e-11,44632.15741982799,7.008837954458613e-12,10682.551783199857,10800.0
main,2025-09-29,44452.044294095474,17.7570591373017,44469.801353232775,3.7910032317037143,10800.0,10800.0
main,2025-09-30,44409.32878492195,728.9508505643544,45138.279635486295,166.75625647131034,10800.0,10800.0
main,2025-10-01,45588.50858382751,25.918627327835896,45614.42721115536,11.963363640814475,10800.0,10800.0
main,2025-10-02,42557.638176748864,2.9716894056619484e-11,42557.63817674889,6.747269409856926e-12,10800.0,10800.0
main,2025-10-03,18154.07782206044,1.9933380279724135e-11,18154.07782206046,4.073186232744774e-12,10800.0,10800.0
main,2025-10-04,17019.531029285572,1045.698851619411,18065.229880904983,280.1180534042684,10800.0,10800.0
main,2025-10-05,38663.94329732173,3452.6165462869603,42116.5598436087,615.8640065663988,10800.0,10800.0
main,2025-10-06,36591.781064412055,9759.554298801426,46351.33536321349,1638.1575532976397,10800.0,10782.729016641677
main,2025-10-07,39369.396945933455,157.62491844956853,39527.02186438302,32.93856305489445,10782.729016641677,10800.0
main,2025-10-08,37955.91597624699,4827.9115809756595,42783.827557222656,776.6227051489246,10800.0,10759.006328737374
