interval_start,interval_end,plot_hour_midpoint,actual_netload_kw,forecast_00_kw,forecast_06_kw,forecast_12_kw,forecast_18_kw
0.0,0.16666666666666666,0.08333333333333333,3299.0689,3434.2978030335426,,,
0.16666666666666666,0.3333333333333333,0.25,3421.881,3434.2978030335426,,,
0.3333333333333333,0.5,0.4166666666666667,3683.11,3405.1149560751846,,,
0.5,0.6666666666666666,0.5833333333333334,3476.737,3438.0399501996812,,,
0.6666666666666666,0.8333333333333334,0.75,3302.6695,3495.1753150970876,,,
0.8333333333333334,1.0,0.9166666666666666,3426.9399999999996,3440.9899773110483,,,
1.0,1.1666666666666667,1.0833333333333333,3609.5342999999993,3495.1753150970876,,,
1.1666666666666667,1.3333333333333333,1.25,3668.9025,3442.7965356416958,,,
1.3333333333333333,1.5,1.4166666666666667,3589.3,3318.1142378747268,,,
1.5,1.6666666666666667,1.5833333333333333,3503.6156999999994,3446.467651476508,,,
1.6666666666666667,1.8333333333333333,1.75,3545.9703,3504.0289996432143,,,
1.8333333333333333,2.0,1.9166666666666667,3590.66,3448.4143155078154,,,
2.0,2.1666666666666665,2.0833333333333335,3395.9017,3448.4143155078154,,,
2.1666666666666665,2.3333333333333335,2.25,3276.7246,3449.843661857175,,,
2.3333333333333335,2.5,2.4166666666666665,3394.28,3504.0289996432143,,,
2.5,2.6666666666666665,2.5833333333333335,3587.5594,3504.0289996432143,,,
2.6666666666666665,2.8333333333333335,2.75,3605.7268000000004,3502.599653293855,,,
2.8333333333333335,3.0,2.9166666666666665,3522.79,3549.2839888037333,,,
3.0,3.1666666666666665,3.0833333333333335,3631.2618,3502.599653293855,,,
3.1666666666666665,3.3333333333333335,3.25,3731.3543,3468.051643787049,,,
3.3333333333333335,3.5,3.4166666666666665,3721.01,3513.576943226916,,,
3.5,3.6666666666666665,3.5833333333333335,3699.7384999999995,3641.7668193431696,,,
3.6666666666666665,3.8333333333333335,3.75,3674.7825000000003,3629.8517872409843,,,
3.8333333333333335,4.0,3.9166666666666665,3623.58,3590.9106371696175,,,
4.0,4.166666666666667,4.083333333333333,3538.7677999999996,3628.8647983228475,,,
4.166666666666667,4.333333333333333,4.25,3488.7842999999993,3628.8647983228475,,,
4.333333333333333,4.5,4.416666666666667,3513.51,3570.5573492926355,,,
4.5,4.666666666666667,4.583333333333333,3598.3508,3596.352978937195,,,
4.666666666666667,4.833333333333333,4.75,3700.4359000000004,3632.356985387108,,,
4.833333333333333,5.0,4.916666666666667,3753.57,3630.9202731959363,,,
5.0,5.166666666666667,5.083333333333333,3716.6035,3612.429017295775,,,
5.166666666666667,5.333333333333333,5.25,3707.0664000000006,3613.4160062139117,,,
5.333333333333333,5.5,5.416666666666667,3642.69,3629.291294379868,,,
5.5,5.666666666666667,5.583333333333333,3452.5804,3611.548370635028,,,
5.666666666666667,5.833333333333333,5.75,4028.7787,4093.7398712068402,,,
5.833333333333333,6.0,5.916666666666667,4962.09,4760.484327690007,,,
6.0,6.166666666666667,6.083333333333333,4751.699600000001,4501.0758522198485,4503.904385553183,,
6.166666666666667,6.333333333333333,6.25,4259.7799,4178.997894356675,4184.654961023341,,
6.333333333333333,6.5,6.416666666666667,4028.2249999999995,3900.5980480403805,3909.0836480403805,,
6.5,6.666666666666667,6.583333333333333,3774.2692000000006,3608.205744913923,3619.5198782472567,,
6.666666666666667,6.833333333333333,6.75,3516.9354999999996,3317.462528247257,3331.605194913923,,
6.833333333333333,7.0,6.916666666666667,3187.0924999999997,3029.670866463843,3046.642066463843,,
7.0,7.166666666666667,7.083333333333333,2679.4530000000004,2726.2789552294653,2779.6261552294654,,
7.166666666666667,7.333333333333333,7.25,2407.449699999999,2379.1097445946443,2468.832944594644,,
