date,setting,initial_cost,increase_cost,cancellation_refund,cancellation_penalty,adjustment_net,emergency_cost,total_cost,initial_kwh,effective_kwh,increase_kwh,cancel_kwh,emergency_kwh,start_kwh,end_kwh
2025-03-20,nominal,43896.503096030174,2412.654924011487,4854.161200019197,2427.0806000095986,-14.425675998111728,382.1361618783824,44264.213581910444,71451.24608614377,66251.93284758204,2348.8771999890664,7548.190438550788,92.40422650124452,1901.347285930005,1403.3510408247791
2025-03-20,grid_30kwh,43896.503096030174,2360.4868740114866,4854.161200019197,2427.0806000095986,-66.59372599811195,508.7121618783824,44338.621531910445,71451.24608614377,66224.93284758204,2321.8771999890664,7548.190438550788,119.40422650124452,1901.347285930005,1403.3510408247791
2025-03-20,atoms_15,43896.503096030174,2412.654924011487,4854.161200019197,2427.0806000095986,-14.425675998111728,382.1361618783824,44264.213581910444,71451.24608614377,66251.93284758204,2348.8771999890664,7548.190438550788,92.40422650124452,1901.347285930005,1403.3510408247791
2025-06-21,nominal,20939.895493545187,111.61226688020024,1149.036029697307,574.5180148486535,-462.9057479684533,7.679329172560757e-12,20476.989745576742,35294.24220435784,34095.2748279308,62.942776793116934,1261.9101532201578,1.822542117224657e-12,2887.8602867885975,2533.4412857167586
2025-06-21,grid_30kwh,20939.895493545187,111.61226688020024,1149.036029697307,574.5180148486535,-462.9057479684533,7.679329172560757e-12,20476.989745576742,35294.24220435784,34095.2748279308,62.942776793116934,1261.9101532201578,1.822542117224657e-12,2887.8602867885975,2533.4412857167586
2025-06-21,atoms_15,20939.895493545187,111.61226688020024,1149.036029697307,574.5180148486535,-462.9057479684533,7.679329172560757e-12,20476.989745576742,35294.24220435784,34095.2748279308,62.942776793116934,1261.9101532201578,1.822542117224657e-12,2887.8602867885975,2533.4412857167586
2025-09-23,nominal,46867.72135473236,7.211481442440067,4204.275557409948,2102.137778704974,-2094.926297262534,500.6158542805897,45273.41091175041,74580.33822470684,68158.61191650288,5.208616485705306,6426.934924689659,108.43229135632522,1584.9501790589343,1568.5137538196002
2025-09-23,grid_30kwh,46867.72135473236,7.211481442440067,4204.275557409948,2102.137778704974,-2094.926297262534,500.6158542805897,45273.41091175041,74580.33822470684,68158.61191650288,5.208616485705306,6426.934924689659,108.43229135632522,1584.9501790589343,1568.5137538196002
2025-09-23,atoms_15,46867.72135473236,7.211481442440067,4204.275557409948,2102.137778704974,-2094.926297262534,500.6158542805897,45273.41091175041,74580.33822470684,68158.61191650288,5.208616485705306,6426.934924689659,108.43229135632522,1584.9501790589343,1568.5137538196002
2025-12-21,nominal,63270.17615503742,1791.2754374436024,3470.413985874396,1735.206992937198,56.068444506404376,1437.324143281921,64763.56874282575,98331.99417774609,95546.98177243104,1655.6546840153978,4440.667089330449,287.556781379694,1437.0332255577723,1433.8289156406672
2025-12-21,grid_30kwh,63270.17615503742,1207.2870918657004,3581.235349428298,1790.617674714149,-583.3305828484486,1472.2605624043038,64159.106134593276,98331.99417774609,94872.65463186859,1163.306202118098,4622.645747995595,296.83850644565246,1437.0332255577723,1264.5429888586898
2025-12-21,atoms_15,63270.17615503742,1791.2754374436024,3470.413985874396,1735.206992937198,56.068444506404376,1439.7631556418783,64766.00775518571,98331.99417774609,95546.98177243104,1655.6546840153978,4440.667089330449,287.556781379694,1437.0332255577723,1433.8289156406672
