日期,时段结束,实际净负荷_kW,q20_kW,q50_kW,q65_kW,q80_kW,q90_kW
2025-02-01,00:10,2532.1822,2556.646895823713,2672.7315159165405,2757.0715828660705,2890.6943696264016,3022.917071958585
2025-02-01,00:20,2492.4439,2509.904137001473,2698.0946151477256,2758.2136114838045,2866.40315078752,3022.246154828101
2025-02-01,00:30,2464.3,2592.6618091850537,2708.9676514460048,2773.4096830815797,2884.0911682546616,3033.1191911263804
2025-02-01,00:40,2581.7688,2584.734503846868,2719.654240261709,2790.2194601476936,2944.5538372354513,3036.559741655796
2025-02-01,00:50,2546.4635,2664.108854509508,2761.488787320081,2841.6062376230643,2984.5539640831917,3067.373773376761
2025-02-01,01:00,2436.31,2709.8583153341388,2758.969002485031,2819.3493901470083,2949.0574220528297,3044.3214198862324
2025-02-01,01:10,2620.5011,2695.9761598057585,2785.6591568293356,2813.2588789791503,2955.5275708213876,3178.8265892322006
2025-02-01,01:20,2710.7861,2683.456262389765,2748.7741197446917,2794.4354487151536,2959.371278361848,3065.9158934195852
2025-02-01,01:30,2676.48,2674.81526801028,2759.051758059532,2854.7683331847284,2969.6489166766883,3076.1935317344255
2025-02-01,01:40,2830.598,2695.7495167826446,2793.105552659473,2916.0054627848745,2993.3314185388645,3196.836208971812
2025-02-01,01:50,2688.1558,2803.1366293752376,2917.155646689411,2957.3329277649505,3096.638609173157,3380.253242761706
2025-02-01,02:00,2384.42,2843.691850948394,2966.7387177001056,2986.9865691365558,3093.1631201890336,3318.190496719962
2025-02-01,02:10,2604.5438,2848.5674150621417,2966.7387177001056,3011.1797698970627,3171.5095694518473,3407.697218582758
2025-02-01,02:20,2943.3655,2875.8395500785823,2966.7387177001056,3120.7472732303463,3328.7183011867382,3506.285752172588
2025-02-01,02:30,3019.32,2858.367726925804,2996.755210478942,3138.293676218957,3144.6800163208404,3467.2221744939106
2025-02-01,02:40,2844.4369,2844.3147336337133,3007.3250168301483,3116.0094143057904,3132.4910363489985,3173.295105524872
2025-02-01,02:50,2768.3064,2986.7955081531745,3058.0173775395565,3193.1283102156117,3228.7150661386563,3250.0688520881863
2025-02-01,03:00,2861.65,3007.2490507064003,3069.306383826351,3261.589892782626,3277.2845850692584,3374.8282609583634
2025-02-01,03:10,2900.3973,2974.7079452933335,3060.8102294467053,3219.5782170784364,3238.3766894344744,3351.395075438273
2025-02-01,03:20,2919.6115,2973.5599046867037,3060.8102294467053,3176.415104831036,3269.4207791765625,3351.395075438273
2025-02-01,03:30,2993.09,2983.257456173432,3063.87556959388,3064.883731099624,3274.1465799105895,3378.79088192406
2025-02-01,03:40,3109.8584,2989.588766133409,3063.87556959388,3077.832535159806,3218.4798291295538,3303.17556838982
2025-02-01,03:50,3054.8008,2992.7238553833545,3063.87556959388,3083.8437809016687,3291.454585050915,3357.5917917666657
2025-02-01,04:00,2901.7,3063.4316925363732,3259.7135601676773,3291.2329404967422,3319.3181364687566,3435.9420185453937
2025-02-01,04:10,2947.1208,3064.003855044333,3208.1598702330257,3231.891624448914,3284.2223391420725,3339.724379872706
2025-02-01,04:20,3027.8717,2994.2687894560745,3086.467063593433,3123.308617113303,3168.5300787750634,3244.342904203485
2025-02-01,04:30,3033.47,3106.8973528765023,3207.987571831411,3209.781216655235,3266.903895515764,3344.901613724353
2025-02-01,04:40,3019.3858,3044.732026353777,3259.7135601676773,3260.4087308905596,3299.187823584578,3471.187033344159
2025-02-01,04:50,3017.0805,2903.057765730967,3106.2092763434503,3161.705622736936,3168.1811192719374,3314.673527123954
2025-02-01,05:00,2997.85,3087.5415918913977,3290.693102503881,3334.1137169472227,3349.914630259494,3516.125984145622
2025-02-01,05:10,2932.7015,3134.621676840242,3290.693102503881,3348.680270757893,3358.9892163120035,3485.1928335160837
2025-02-01,05:20,2991.0926000000004,2947.443237014261,3106.2092763434503,3173.456483078924,3177.441490040149,3214.734740843155
2025-02-01,05:30,3175.34,3179.466509798969,3310.8889409410885,3376.540016700559,3399.5178153274555,3432.4547715201766
2025-02-01,05:40,3284.4619,3238.3484369968596,3342.0470467378395,3423.1799550693618,3482.8376118733886,3601.4042795393766
2025-02-01,05:50,3187.087,2978.5366691025365,3128.0264612028673,3164.6591291070717,3198.5297806221315,3259.882299311544
2025-02-01,06:00,3065.9,3143.137113670662,3294.221717080699,3326.9655700795597,3361.13197358621,3378.6631037871894
2025-02-01,06:10,3211.1231,3050.2978847961035,3315.6742205985524,3344.666631288584,3393.2573731862094,3431.4807451228876
2025-02-01,06:20,3200.132,2847.3579067096503,3129.374168564499,3174.468236594406,3207.1462375960277,3253.3085761829893
2025-02-01,06:30,3027.12,3028.699266885357,3292.0408098655134,3339.3150261598694,3373.263737505659,3411.2869327354438
2025-02-01,06:40,3117.3221,3048.481658922481,3313.85799472493,3364.3769609803608,3409.152128691076,3430.987891746341
2025-02-01,06:50,3308.8804999999998,3146.2816923891155,3333.9301313187216,3435.9206914312754,3466.6908193341073,3533.532403330544
2025-02-01,07:00,3312.25,3236.9741192243987,3432.3027619981694,3496.0723841851004,3638.4348605430096,3652.979277615211
2025-02-01,07:10,3087.3482999999997,3035.599709066324,3378.765374477368,3520.9037476084345,3526.9144698173054,3864.5516132333455
2025-02-01,07:20,2687.4512999999997,2778.2345832147466,3000.927683388202,3202.4110923581648,3230.7522210578554,3652.3636092144307
2025-02-01,07:30,2336.545,2132.0716431209266,2537.310673785989,2582.370827349534,2647.423179904516,2943.074482885519
2025-02-01,07:40,2265.9224999999997,2158.6614399711693,2347.5678405401986,2615.044170092745,2886.6587961158853,3023.8670434872506
2025-02-01,07:50,2166.9681,1511.7062861501433,2066.192155489713,2243.6268643404414,2633.9180481781805,2873.1420187394756
2025-02-01,08:00,1799.5375000000001,1182.544763713503,1747.086619258857,1958.6208004233804,2208.0799873265114,3046.256491609693
2025-02-01,08:10,1213.3574000000003,855.5644733754602,1390.7828264447471,1500.3717503570178,1597.6515853128055,3129.278881584512
2025-02-01,08:20,778.7556,700.5960199120627,1049.5243814132482,1171.1263460640946,1494.1488007515877,3162.3371064493354
2025-02-01,08:30,517.7075,387.9331845072372,891.6444775724303,1041.9369363005421,1072.7853421780608,2863.7685665988797
2025-02-01,08:40,215.81489999999985,315.92750973989763,543.3899989873053,1009.8523423428256,1114.9999072492353,2769.74977153797
2025-02-01,08:50,374.7235999999998,-191.122527273299,419.83564804299795,824.2725435192378,1054.2993235377155,2781.9740309117997
2025-02-01,09:00,691.0600000000004,232.4591927046368,526.6287570794375,867.1259383804443,1190.997059596729,2940.721298007857
2025-02-01,09:10,274.94469999999956,-122.4521563721668,344.6748426474487,569.747971703939,819.1778478067426,2771.591478823888
2025-02-01,09:20,-188.16300000000047,-139.00928447811526,38.48424266895199,606.0036930726261,697.079201013318,2852.1111765745327
2025-02-01,09:30,-370.2049999999999,-405.32640426084714,-210.400459662691,339.1191382259666,542.1959382535301,2845.510175871725
2025-02-01,09:40,-630.6486999999997,-717.2476565062652,-397.2275150888818,-77.46061055222887,433.1491463207265,2605.278121772486
