date,grid_step,atoms,initial_cost,increase_cost,refund,penalty,adjustment_net,emergency_cost,total_cost,initial_kwh,effective_kwh,increase_kwh,cancel_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,E_start,E_end,delta_cost
2025-03-20,60,7,45344.361509210554,2450.135858122757,5140.783531977424,2570.391765988712,-120.25590786595512,376.03464011454895,45600.14024145914,71312.64231935077,66046.31871068894,2324.660768606819,7590.984377268649,89.35935981533379,20527.151916158393,17222.121814146805,621.6861518260089,2064.6052208897845,1403.3510408247794,0.0
2025-03-20,30,7,45344.361509210554,2450.135858122757,5140.783531977424,2570.391765988712,-120.25590786595512,376.03464011454895,45600.14024145914,71312.64231935077,66046.31871068894,2324.660768606819,7590.984377268649,89.35935981533379,20527.151916158393,17222.121814146805,621.6861518260089,2064.6052208897845,1403.3510408247794,0.0
2025-03-20,60,15,45344.361509210554,2450.135858122757,5140.783531977424,2570.391765988712,-120.25590786595512,376.03464011454895,45600.14024145914,71312.64231935077,66046.31871068894,2324.660768606819,7590.984377268649,89.35935981533379,20527.151916158393,17222.121814146805,621.6861518260089,2064.6052208897845,1403.3510408247794,0.0
2025-06-21,60,7,18194.438348613105,98.94455914374966,289.8534807774864,144.9267403887432,-45.98218124499357,9.588055682741014e-12,18148.456167368124,35303.77721849311,34912.220492812805,61.018561744317026,452.5752874246178,2.4709123636057484e-12,12197.329860811738,9701.677577360944,13081.827809362014,2879.2787740668637,3077.2338961741543,0.0
2025-06-21,30,7,18194.438348613105,98.94455914374966,289.8534807774864,144.9267403887432,-45.98218124499357,9.588055682741014e-12,18148.456167368124,35303.77721849311,34912.220492812805,61.018561744317026,452.5752874246178,2.4709123636057484e-12,12197.329860811738,9701.677577360944,13081.827809362014,2879.2787740668637,3077.2338961741543,0.0
2025-06-21,60,15,18194.438348613105,98.94455914374966,289.8534807774864,144.9267403887432,-45.98218124499357,9.588055682741014e-12,18148.456167368124,35303.77721849311,34912.220492812805,61.018561744317026,452.5752874246178,2.4709123636057484e-12,12197.329860811738,9701.677577360944,13081.827809362014,2879.2787740668637,3077.2338961741543,0.0
2025-09-23,60,7,48925.21626192576,1.2398243441470282,4282.16274227579,2141.081371137895,-2139.8415467937484,531.2042096324427,47316.57892476446,74206.54812570714,67736.89581965297,1.591521703964986,6471.243827758126,107.86149248050359,20847.311027089534,17231.675016385507,2112.505718096113,1952.239403200695,1568.5137538196004,0.0
2025-09-23,30,7,48925.21626192576,1.2398243441470282,4282.16274227579,2141.081371137895,-2139.8415467937484,531.2042096324427,47316.57892476446,74206.54812570714,67736.89581965297,1.591521703964986,6471.243827758126,107.86149248050359,20847.311027089534,17231.675016385507,2112.505718096113,1952.239403200695,1568.5137538196004,0.0
2025-09-23,60,15,48925.21626192576,1.2398243441470282,4282.16274227579,2141.081371137895,-2139.8415467937484,531.2042096324427,47316.57892476446,74206.54812570714,67736.89581965297,1.591521703964986,6471.243827758126,107.86149248050359,20847.311027089534,17231.675016385507,2112.505718096113,1952.239403200695,1568.5137538196004,0.0
2025-12-21,60,7,74303.4618070392,1577.1263118270888,4569.042851753171,2284.5214258765855,-707.3951140494964,1989.593333591051,75585.66002658076,98239.83146388343,94748.78246715202,1142.4688740159227,4633.517870747328,296.83850644565393,24490.717483787692,19992.722374897206,1509.8439980405037,1437.033225557772,1264.5429888586898,0.0
2025-12-21,30,7,74303.4618070392,1577.1263118270888,4569.042851753171,2284.5214258765855,-707.3951140494964,1984.2532667432547,75580.31995973297,98239.83146388343,94748.78246715202,1142.4688740159227,4633.517870747328,296.83850644565393,24490.717483787692,19992.722374897206,1509.8439980405037,1437.033225557772,1264.5429888586898,-5.34006684779888
2025-12-21,60,15,74303.4618070392,1577.1263118270888,4569.042851753171,2284.5214258765855,-707.3951140494964,1989.593333591051,75585.66002658076,98239.83146388343,94748.78246715202,1142.4688740159227,4633.517870747328,296.83850644565393,24490.717483787692,19992.722374897206,1509.8439980405037,1437.033225557772,1264.5429888586898,0.0
